full_name,total_pitches,avg_velocity,avg_spin_rate,avg_extension,strikeouts,whiffs,avg_bat_speed,avg_launch_angle,avg_exit_velocity,avg_swing_length,games_played
Tyler Anderson,457,84.4,2128.74,6.02,24,0,70.87,17.54,83.75,7.47,5
Kevin Gausman,480,89.43,2036.84,6.73,29,0,69.97,18.67,81.16,7.32,5
Trevor Williams,394,84.27,2143.95,6.93,18,0,71.11,25.76,83.62,7.02,5
Nick Pivetta,443,87.63,2485.94,6.82,30,0,68.0,25.49,84.1,7.11,5
Clay Holmes,459,88.75,2303.91,5.83,19,0,70.84,13.29,84.47,7.26,5
Jeffrey Springs,473,84.95,1963.56,6.24,26,0,70.02,19.69,81.81,7.5,5
Max Fried,511,87.63,2465.54,6.5,34,0,70.03,11.68,80.78,7.11,5
Freddy Peralta,466,91.02,2344.83,6.84,32,0,69.55,20.97,81.33,7.06,5
Jack Flaherty,451,87.02,2300.97,6.5,28,0,69.73,24.42,83.25,7.35,5
Grant Holmes,450,89.16,2670.38,5.98,39,0,68.89,14.13,82.16,7.33,5
Joe Ryan,476,90.26,2332.04,6.69,32,0,69.47,22.52,81.65,7.06,5
Brady Singer,475,87.73,2385.68,6.95,27,0,69.35,14.1,81.85,7.17,5
Edward Cabrera,299,92.64,2304.64,6.5,21,0,69.34,11.91,85.09,7.46,4
Shane Baz,469,91.49,2457.35,6.36,31,0,70.67,15.74,84.42,7.13,5
Andre Pallante,426,90.53,2415.72,6.54,18,0,69.44,6.77,83.43,7.04,5
Richard Fitts,122,91.19,2412.7,6.6,6,0,69.37,31.96,85.4,6.92,2
Paul Skenes,474,92.95,2121.57,6.61,32,0,69.11,15.38,81.57,7.31,5
