team,wins,losses,run_diff,streak,games_played,win_pct
TOR,55,41,17,L2,96,.573
NYY,53,43,111,L2,96,.552
BOS,53,45,61,W10,98,.541
TB,50,47,61,L4,97,.515
BAL,43,52,-90,L2,95,.453
DET,59,38,87,L4,97,.608
MIN,47,49,-8,L1,96,.490
KC,47,50,-28,W1,97,.485
CLE,46,49,-45,W2,95,.484
CWS,32,65,-98,L2,97,.330
HOU,56,40,56,L1,96,.583
SEA,51,45,32,W3,96,.531
TEX,48,49,47,W1,97,.495
LAA,47,49,-62,L1,96,.490
Athletics,41,57,-134,W2,98,.418
PHI,55,41,63,W1,96,.573
NYM,55,42,45,L1,97,.567
MIA,44,51,-55,W2,95,.463
ATL,42,53,2,L1,95,.442
WSH,38,58,-102,L4,96,.396
CHC,57,39,119,W2,96,.594
MIL,56,40,81,W7,96,.583
STL,51,46,17,W1,97,.526
CIN,50,47,31,W2,97,.515
PIT,39,58,-53,W1,97,.402
LAD,58,39,69,W2,97,.598
SD,52,44,7,L1,96,.542
SF,52,45,17,L2,97,.536
ARI,47,50,5,W1,97,.485
COL,22,74,-253,L2,96,.229
