pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle,attack_angle,attack_direction,swing_path_tilt,intercept_ball_minus_batter_pos_x_inches,intercept_ball_minus_batter_pos_y_inches
FC,2025-10-15,90.3,3.66,5.66,"Fluharty, Mason",645302,689254,field_out,hit_into_play,,,,,11,Victor Robles grounds out to first baseman Vladimir Guerrero Jr.,L,R,L,SEA,TOR,X,3,ground_ball,0,0,2025,-0.4,0.71,-0.03,3.5,,695670,,2,9,Bot,153.78,162.01,,,,,-8.376377185945474,-131.3971372551667,-0.9915248539408388,-3.124662981540157,24.962941327938093,-23.84341383873361,3.21,1.53,102,80.7,6,91.4,2738,6.7,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.78,0.291,0.307,0.0,1,0,0,2,82,1,Cutter,4,13,4,13,13,4,4,13,Standard,Standard,181,-0.001,-0.288,60.7,5.4,0.325,0.288,88.0,-9,-9,0.001,0.001,23,28,24,28,1,3,,,,,2.06,-0.4,0.4,,2.403379218362756,30.452019495683768,20.772954739965535,40.16994252459565,7.508846966094919
FC,2025-10-15,91.6,3.67,5.67,"Fluharty, Mason",641598,689254,field_out,hit_into_play,,,,,6,Mitch Garver flies out to first baseman Vladimir Guerrero Jr. in foul territory.,L,R,L,SEA,TOR,X,3,fly_ball,2,0,2025,-0.09,0.95,0.5,2.66,,695670,,1,9,Bot,180.11,172.14,,,,,-7.869887177186848,-133.1806898835655,-3.8332128529103295,0.4750952335130954,27.073902178881287,-20.26426517247605,3.48,1.64,172,94.1,68,92.7,2766,6.8,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.65,0.011,0.01,0.0,1,0,0,3,81,3,Cutter,4,13,4,13,13,4,4,13,Standard,Standard,166,0.0,-0.337,72.0,7.5,0.011,0.337,94.1,-9,-9,0.001,0.001,23,34,24,34,1,0,,,,,1.76,-0.09,0.09,,16.710820807021285,6.718283044881777,30.3945470901365,43.844998066781216,29.77831998436305
FC,2025-10-15,90.0,3.54,5.65,"Fluharty, Mason",641598,689254,,ball,,,,,13,Ball,L,R,L,SEA,TOR,B,,,1,0,2025,-0.32,0.88,-1.77,0.44,,,695670,1,9,Bot,,,,,,,-12.574261147744629,-130.3362666856205,-8.86622686830812,-1.1263286457747277,26.69665724901699,-20.32856720499114,3.42,1.55,,,,90.7,2876,6.9,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.59,,,,,,,,81,2,Cutter,4,13,4,13,13,4,4,13,Infield shade,Standard,168,0.0,0.069,,,,-0.069,,-9,-9,0.001,0.001,23,34,24,34,1,0,,,,,1.95,-0.32,0.32,,,,,,
ST,2025-10-15,81.1,3.53,5.77,"Fluharty, Mason",641598,689254,,ball,,,,,3,Ball,L,R,L,SEA,TOR,B,,,0,0,2025,-1.2,0.25,0.79,3.22,,,695670,1,9,Bot,,,,,,,-3.8948847954361328,-118.06740346633067,0.533412064416066,-10.281449518359562,24.940573686039357,-30.16568850503424,3.44,1.66,,,,81.9,2737,7.0,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.48,,,,,,,,81,1,Sweeper,4,13,4,13,13,4,4,13,Infield shade,Standard,301,0.0,0.035,,,,-0.035,,-9,-9,0.001,0.001,23,34,24,34,1,0,,,,,3.24,-1.2,1.2,,,,,,
FC,2025-10-15,91.7,3.73,5.69,"Fluharty, Mason",553993,689254,strikeout,swinging_strike,,,,,2,Eugenio Suárez strikes out swinging.,L,R,L,SEA,TOR,S,2,,3,2,2025,-0.09,1.16,0.17,2.96,,,695670,0,9,Bot,,,,,,,-8.896242921179766,-133.3636891753801,-3.5956328915513365,0.682495330119188,26.120290662484795,-17.744551749495177,3.44,1.58,,,,92.8,2793,6.8,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.72,,0.0,0.0,1,0,0,,80,10,Cutter,4,13,4,13,13,4,4,13,Standard,Standard,168,0.0,-0.315,72.0,6.8,,0.315,,-9,-9,0.001,0.001,23,33,24,34,1,3,,,,,1.54,-0.09,0.09,,-3.0496131593691924,27.40704457255069,42.523555571206266,33.052071554712235,18.26323059180885
ST,2025-10-15,81.3,3.45,5.73,"Fluharty, Mason",553993,689254,,foul,,,,,14,Foul,L,R,L,SEA,TOR,S,,,3,2,2025,-1.25,-0.29,0.9,1.07,,,695670,0,9,Bot,,,,,,,-3.342150780215657,-118.3659237577024,-3.232634918118784,-10.935326558138929,25.41380034900315,-34.41122407997409,3.44,1.58,,,,81.8,2806,6.9,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.61,,,,,,,,80,9,Sweeper,4,13,4,13,13,4,4,13,Standard,Standard,297,0.0,0.0,30.3,6.6,,0.0,,-9,-9,0.001,0.001,23,33,24,34,1,3,,,,,3.77,-1.25,1.25,,-2.366872321471113,37.79490797509556,34.6775240390436,41.59192730441063,9.815502389702456
FC,2025-10-15,90.9,3.81,5.77,"Fluharty, Mason",553993,689254,,ball,,,,,12,Ball,L,R,L,SEA,TOR,B,,,2,2,2025,-0.15,0.93,1.2,4.17,,,695670,0,9,Bot,,,,,,,-6.276315929858182,-132.46143161182587,-0.1580658021766473,-0.6085159689170349,24.7842330704543,-21.341089880947766,3.43,1.59,,,,92.1,2771,6.7,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.83,,,,,,,,80,8,Cutter,4,13,4,13,13,4,4,13,Standard,Standard,171,0.0,0.114,,,,-0.114,,-9,-9,0.001,0.001,23,33,24,34,1,3,,,,,1.8,-0.15,0.15,,,,,,
ST,2025-10-15,82.0,3.35,5.84,"Fluharty, Mason",553993,689254,,foul,,,,,13,Foul,L,R,L,SEA,TOR,S,,,2,2,2025,-1.7,0.03,-0.89,2.12,,,695670,0,9,Bot,,,,,,,-6.347606901288376,-119.28021249922332,-1.8277597589114956,-14.660042374561163,26.30837771066797,-31.74105170892654,3.44,1.58,6,74.9,-19,82.2,2872,6.8,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.7,,,,,,,,80,7,Sweeper,4,13,4,13,13,4,4,13,Infield shade,Standard,301,0.0,0.0,75.0,8.6,,0.0,88.0,-9,-9,0.001,0.001,23,33,24,34,1,3,,,,,3.4,-1.7,1.7,,25.710068728222392,-23.162640448042108,39.278970666705575,23.92025964109388,42.69269365044808
FC,2025-10-15,91.6,3.8,5.68,"Fluharty, Mason",553993,689254,,ball,,,,,12,Ball,L,R,L,SEA,TOR,B,,,1,2,2025,-0.19,1.01,0.13,4.14,,,695670,0,9,Bot,,,,,,,-8.930210652869466,-133.21123884762403,-0.259761114229096,-0.4647494689774332,26.335355767428016,-20.182606003099725,3.43,1.59,,,,92.4,2926,6.6,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.85,,,,,,,,80,6,Cutter,4,13,4,13,13,4,4,13,Standard,Standard,164,0.0,0.036,,,,-0.036,,-9,-9,0.001,0.001,23,33,24,34,1,3,,,,,1.69,-0.19,0.19,,,,,,
FC,2025-10-15,92.1,3.7,5.79,"Fluharty, Mason",553993,689254,,foul,,,,,5,Foul,L,R,L,SEA,TOR,S,,,1,2,2025,-0.07,1.05,-0.21,2.61,,,695670,0,9,Bot,,,,,,,-9.839173126472186,-133.85914713417623,-4.5742354198125055,1.2237700122809814,27.67322442112974,-18.691608414257217,3.44,1.58,190,68.4,45,92.9,2829,6.7,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.77,,,,,,,,80,5,Cutter,4,13,4,13,13,4,4,13,Standard,Standard,152,0.0,0.0,68.1,6.5,,0.0,88.0,-9,-9,0.001,0.001,23,33,24,34,1,3,,,,,1.63,-0.07,0.07,,-1.0563402734001852,18.768333334467325,42.18155726726364,29.445886388890365,22.4814289888136
FC,2025-10-15,91.1,3.76,5.7,"Fluharty, Mason",553993,689254,,foul,,,,,1,Foul,L,R,L,SEA,TOR,S,,,1,2,2025,-0.36,0.89,-0.37,3.36,,,695670,0,9,Bot,,,,,,,-9.63587659847791,-132.4452395971562,-1.8805197152544983,-2.2149393382291063,28.33223179931889,-21.550078873655472,3.44,1.58,185,67.9,40,91.6,2910,6.7,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.84,,,,,,,,80,4,Cutter,4,13,4,13,13,4,4,13,Standard,Standard,170,0.0,0.0,63.1,6.0,,0.0,88.0,-9,-9,0.001,0.001,23,33,24,34,1,3,,,,,1.87,-0.36,0.36,,-0.2239955767645741,24.04727045888998,35.81013320808365,28.23171708248541,19.402343830075854
FC,2025-10-15,90.1,3.63,5.74,"Fluharty, Mason",553993,689254,,foul,,,,,1,Foul,L,R,L,SEA,TOR,S,,,1,1,2025,-0.32,1.04,-0.44,3.01,,,695670,0,9,Bot,,,,,,,-9.496810207783128,-131.01150981952443,-3.07880716366258,-1.8627038660782091,24.823969130385343,-19.736496281781985,3.44,1.58,,,,91.2,2660,6.8,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.75,,,,,,,,80,3,Cutter,4,13,4,13,13,4,4,13,Standard,Standard,176,0.0,-0.07,73.1,7.1,,0.07,,-9,-9,0.001,0.001,23,33,24,34,1,3,,,,,1.75,-0.32,0.32,,9.68217987129144,8.960482483839586,40.26919166840768,27.79968478457973,24.71719774830183
FC,2025-10-15,90.0,3.71,5.7,"Fluharty, Mason",553993,689254,,called_strike,,,,,1,Called Strike,L,R,L,SEA,TOR,S,,,1,0,2025,-0.43,0.74,-0.47,3.2,,,695670,0,9,Bot,,,,,,,-9.539535772029922,-130.86803971852672,-1.8526477287635956,-3.13958334793296,25.52972209351365,-23.395223045646564,3.45,1.6,,,,91.0,2717,6.7,813043,672386,665489,643396,676391,665926,664702,662139,664770,53.76,,,,,,,,80,2,Cutter,4,13,4,13,13,4,4,13,Standard,Standard,178,0.0,-0.048,,,,0.048,,-9,-9,0.001,0.001,23,33,24,34,1,3,,,,,2.06,-0.43,0.43,,,,,,
