mlbam_id,player_name,team
592450,Aaron Judge,NYY
660271,Shohei Ohtani,LAD
665742,Juan Soto,NYY
683002,Gunnar Henderson,BAL
596019,Francisco Lindor,NYM
680776,Jarren Duran,BOS
682829,Elly De La Cruz,CIN
606466,Ketel Marte,ARI
661388,William Contreras,MIL
656305,Matt Chapman,SFG
663728,Cal Raleigh,SEA
701538,Jackson Merrill,SDP
547180,Bryce Harper,PHI
667670,Brent Rooker,OAK
642715,Willy Adames,MIL
542303,Marcell Ozuna,ATL
608369,Corey Seager,TEX
605141,Mookie Betts,LAD
621043,Carlos Correa,MIN
595777,Jurickson Profar,SDP
621020,Dansby Swanson,CHC
672275,Patrick Bailey,SFG
663656,Kyle Tucker,HOU
680757,Steven Kwan,CLE
608324,Alex Bregman,HOU
543760,Marcus Semien,TEX
646240,Rafael Devers,BOS
518692,Freddie Freeman,LAD
682998,Corbin Carroll,ARI
691718,Pete Crow-Armstrong,CHC
682985,Riley Greene,DET
681297,Colton Cowser,BAL
663538,Nico Hoerner,CHC
607208,Trea Turner,PHI
694192,Jackson Chourio,MIL
621439,Byron Buxton,MIN
686668,Brenton Doyle,COL
678662,Ezequiel Tovar,COL
664023,Ian Happ,CHC
691026,Masyn Winn,STL
695578,James Wood,WSN
673548,Seiya Suzuki,CHC
592518,Manny Machado,SDP
664761,Alec Bohm,PHI
665833,Oneil Cruz,PIT
687263,Zach Neto,LAA
656941,Kyle Schwarber,PHI
670623,Isaac Paredes,- - -
669224,Austin Wells,NYY
683011,Anthony Volpe,NYY
623993,Anthony Santander,BAL
671732,Lawrence Butler,OAK
662139,Daulton Varsho,TOR
663656,Kyle Tucker,CHC
668709,JJ Bleday,OAK
680977,Brendan Donovan,STL
519293,Will Smith,LAD
607111,Jacob Wilson,ATH
687401,Joey Ortiz,MIL
571448,Nolan Arenado,STL
650489,Willi Castro,MIN
592885,Christian Yelich,MIL
592626,Joc Pederson,ARI
666149,Tyler Fitzgerald,SFG
572233,Christian Walker,ARI
663886,Tyler Stephenson,CIN
677800,Wilyer Abreu,BOS
673237,Yainer Diaz,HOU
664983,Jake McCarthy,ARI
467793,Carlos Santana,MIN
681624,Andy Pages,LAD
668901,Mark Vientos,NYM
694671,Wyatt Langford,TEX
676059,Jordan Westburg,BAL
663993,Nathaniel Lowe,TEX
663697,Jonathan India,CIN
500743,Miguel Rojas,LAD
621493,Taylor Ward,LAA
605479,Josh Smith,TEX
668939,Adley Rutschman,BAL
672386,Alejandro Kirk,TOR
607043,Brandon Nimmo,NYM
696285,Jacob Young,WSN
575929,Willson Contreras,STL
670623,Isaac Paredes,HOU
578428,Jose Iglesias,NYM
621566,Matt Olson,ATL
673490,Ha-seong Kim,SDP
641933,Tyler O'Neill,BOS
663837,Matt Vierling,DET
672515,Gabriel Moreno,ARI
672640,Otto Lopez,MIA
668930,Brice Turang,MIL
608324,Alex Bregman,BOS
681481,Kerry Carpenter,DET
624413,Pete Alonso,NYM
682928,CJ Abrams,WSN
663586,Austin Riley,ATL
676391,Ernie Clement,TOR
669016,Brandon Marsh,PHI
664238,Dylan Moore,SEA
571970,Max Muncy,LAD
670770,TJ Friedl,CIN
671218,Heliot Ramos,SFG
670042,Luke Raley,SEA
664040,Brandon Lowe,TBR
647304,Josh Naylor,CLE
683737,Michael Busch,CHC
672695,Geraldo Perdomo,ARI
656775,Cedric Mullins,BAL
669364,Xavier Edwards,MIA
641355,Cody Bellinger,CHC
678009,Parker Meadows,DET
678882,Ceddanne Rafaela,BOS
668670,Jake Rogers,DET
670242,Matt Wallner,MIN
646240,Rafael Devers,- - -
665742,Juan Soto,NYM
691406,Junior Caminero,TBR
668804,Bryan Reynolds,PIT
656716,Zach McKinstry,DET
676694,Jake Meyers,HOU
630105,Jake Cronenworth,SDP
681351,Logan O'Hoppe,LAA
643396,Isiah Kiner-Falefa,- - -
656811,Ryan O'Hearn,BAL
669127,Shea Langeliers,OAK
668227,Randy Arozarena,- - -
593428,Xander Bogaerts,SDP
666018,Jonathan Aranda,TBR
686948,Drake Baldwin,ATL
687462,Spencer Horwitz,TOR
686217,Sal Frelick,MIL
624641,Edmundo Sosa,PHI
693307,Dillon Dingler,DET
641857,Ryan McMahon,COL
666023,Freddy Fermin,KCR
668942,Josh Rojas,SEA
669003,Garrett Mitchell,MIL
650402,Gleyber Torres,DET
671732,Lawrence Butler,ATH
668227,Randy Arozarena,SEA
518595,Travis d'Arnaud,ATL
690993,Colt Keith,DET
608348,Carson Kelly,- - -
681082,Bryson Stott,PHI
667670,Brent Rooker,ATH
681807,David Fry,CLE
641355,Cody Bellinger,NYY
663457,Lars Nootbaar,STL
650402,Gleyber Torres,NYY
657557,Paul DeJong,- - -
666152,David Hamilton,BOS
623168,Tyler Heineman,TOR
696100,Hunter Goodman,COL
608348,Carson Kelly,CHC
663757,Trent Grisham,NYY
680718,Addison Barger,TOR
666182,Bo Bichette,TOR
573262,Mike Yastrzemski,SFG
543309,Kyle Higashioka,SDP
680777,Ryan Jeffers,MIN
663368,Blake Perkins,MIL
624431,Jose Trevino,NYY
666310,Bo Naylor,CLE
545341,Randal Grichuk,ARI
663616,Trevor Larnach,MIN
650859,Luis Rengifo,LAA
686469,Vinnie Pasquantino,KCR
664056,Harrison Bader,MIN
686681,Michael Massey,KCR
663624,Ryan Mountcastle,BAL
666158,Gavin Lux,LAD
624431,Jose Trevino,CIN
686555,Isaac Collins,MIL
669394,Jake Burger,MIA
669221,Sean Murphy,ATL
669242,Tommy Edman,LAD
668715,Spencer Steer,CIN
657041,Lane Thomas,- - -
621028,Kevin Newman,ARI
680700,Richie Palacios,TBR
664728,Kyle Isbel,KCR
680869,Zack Gelof,OAK
666163,Ben Rortvedt,TBR
608701,Rob Refsnyder,BOS
667472,Dane Myers,MIA
647304,Josh Naylor,ARI
669065,Kyle Stowers,MIA
663698,Joey Bart,PIT
502671,Paul Goldschmidt,NYY
608385,Jesse Winker,- - -
624424,Michael Conforto,SFG
693304,Nick Gonzales,PIT
645277,Ozzie Albies,ATL
518735,Yasmani Grandal,PIT
643446,Jeff McNeil,NYM
664056,Harrison Bader,NYM
680474,Max Schuemann,OAK
669743,Alex Call,WSN
676475,Alec Burleson,STL
679529,Spencer Torkelson,DET
694384,Nolan Schanuel,LAA
663968,Jake Mangum,TBR
678246,Miguel Vargas,CHW
668904,Royce Lewis,MIN
701358,Cam Smith,HOU
457759,Justin Turner,- - -
682177,Daniel Schneemann,CLE
621438,Tyrone Taylor,NYM
543807,George Springer,TOR
656976,Pavin Smith,ARI
700250,Ben Rice,NYY
624585,Jorge Soler,- - -
669127,Shea Langeliers,ATH
643565,Mike Tauchman,CHC
502671,Paul Goldschmidt,STL
805367,Chase Meidroth,CHW
665750,Leody Taveras,TEX
677587,Brayan Rocchio,CLE
679032,Johan Rojas,PHI
672279,Michael Siani,STL
808975,Hyeseong Kim,LAD
681146,Jonah Bride,MIA
657136,Connor Wong,BOS
702616,Jackson Holliday,BAL
666139,Josh Lowe,TBR
592192,Mark Canha,- - -
642136,Matt Thaiss,- - -
596146,Max Kepler,MIN
669720,Austin Hays,CIN
545361,Mike Trout,LAA
665804,Miguel Amaya,CHC
689414,Liam Hicks,MIA
607732,Jacob Stallings,COL
687597,Jordan Beck,COL
694497,Evan Carter,TEX
657757,Gavin Sheets,SDP
656555,Rhys Hoskins,MIL
691016,Tyler Soderstrom,ATH
641584,Jake Fraley,CIN
680474,Max Schuemann,ATH
665828,Oswaldo Cabrera,NYY
676356,Jonny DeLuca,TBR
670032,Nicky Lopez,CHW
519317,Giancarlo Stanton,NYY
807799,Masataka Yoshida,BOS
456781,Donovan Solano,SDP
663898,Brendan Rodgers,COL
664034,Ty France,MIN
518792,Jason Heyward,- - -
622761,Jorge Mateo,BAL
620443,Luis Torrens,NYM
680574,Matt McLain,CIN
672356,Gabriel Arias,CLE
606115,Orlando Arcia,ATL
663647,Ke'Bryan Hayes,PIT
110139,Nick Allen,ATL
677956,Rece Hinds,CIN
642851,Austin Wynns,- - -
680728,Adrian Del Castillo,ARI
669477,Casey Schmitt,SFG
643565,Mike Tauchman,CHW
664770,Nathan Lukes,TOR
656541,Sam Hilliard,COL
666176,Jo Adell,LAA
673962,Josh Jung,TEX
570482,Gio Urshela,- - -
647351,Abraham Toro,OAK
642715,Willy Adames,SFG
624512,Reese McGuire,CHC
682622,Noelvi Marte,CIN
671213,Triston Casas,BOS
695238,Will Wagner,TOR
678877,Jhonkensy Noel,CLE
596115,Trevor Story,BOS
678554,Curtis Mead,TBR
665019,Kody Clemens,- - -
516782,Starling Marte,NYM
672820,Lenyn Sosa,CHW
656537,Derek Hill,MIA
683146,Brett Baty,NYM
607680,Kevin Pillar,- - -
643376,Danny Jansen,TBR
643376,Danny Jansen,- - -
571657,Kyle Farmer,MIN
657077,Alex Verdugo,NYY
664702,Myles Straw,TOR
672016,Denzel Clarke,ATH
663330,Jahmai Jones,DET
593871,Jorge Polanco,SEA
457705,Andrew McCutchen,PIT
686797,Brooks Lee,MIN
680118,Dairon Blanco,KCR
694374,Tim Tawa,ARI
686823,Will Brennan,CLE
656582,Connor Joe,PIT
677870,Leo Jimenez,TOR
467793,Carlos Santana,CLE
672284,Jarred Kelenic,ATL
663743,Nick Fortes,MIA
702332,Caleb Durbin,MIL
686611,Dylan Crews,WSN
605131,Austin Barnes,LAD
593160,Whit Merrifield,- - -
689172,Brett Wisely,SFG
670224,Kameron Misner,TBR
670764,Taylor Walls,TBR
641658,Garrett Hampson,KCR
605113,Nick Ahmed,- - -
595978,Austin Hedges,CLE
807712,Luke Keaschall,MIN
686527,Dominic Canzone,SEA
642851,Austin Wynns,CIN
663853,Romy Gonzalez,BOS
681715,Heriberto Hernandez,MIA
642215,Weston Wilson,PHI
666703,Eguy Rosario,SDP
665052,Griffin Conine,MIA
641343,Jake Bauers,MIL
669911,Michael Toglia,COL
660766,Juan Yepez,WSN
444482,David Peralta,SDP
592206,Nick Castellanos,PHI
700932,Kyle Manzardo,CLE
669357,Nolan Gorman,STL
669208,Ryan Bliss,SEA
606992,Eric Haase,MIL
643396,Isiah Kiner-Falefa,PIT
656896,Emmanuel Rivera,- - -
677347,Kyren Paris,LAA
700242,Trey Sweeney,DET
676914,Davis Schneider,TOR
669707,Jared Triolo,PIT
642731,Thairo Estrada,SFG
672642,Steward Berroa,TOR
656448,Stone Garrett,WSN
571912,Luke Maile,KCR
671289,Tyler Freeman,COL
642086,Dominic Smith,SFG
695336,Thomas Saggese,STL
664059,Sam Haggerty,TEX
642201,Eli White,ATL
650968,Yohel Pozo,STL
668853,Austin Shenton,TBR
677008,Heston Kjerstad,BAL
691016,Tyler Soderstrom,OAK
527038,Wilmer Flores,SFG
623520,David Bote,CHC
596146,Max Kepler,PHI
687221,Dalton Rushing,LAD
676632,Bligh Madris,DET
621545,Zach Remillard,CHW
695257,Billy Cook,PIT
691019,Kyle Teel,CHW
542932,Jon Berti,NYY
686765,Nick Sogard,BOS
681393,Connor Norby,MIA
677950,Alek Thomas,ARI
670156,Miles Mastrobuoni,SEA
671289,Tyler Freeman,CLE
644433,Chadwick Tromp,ATL
686452,Drew Millas,WSN
680779,Henry Davis,PIT
596117,Garrett Stubbs,PHI
595281,Kevin Kiermaier,- - -
681987,Nate Eaton,BOS
687957,Dustin Harris,TEX
676551,Brewer Hicklen,DET
671117,Darren Baker,WSN
669369,Bryce Johnson,SDP
647351,Abraham Toro,BOS
672744,Alexander Canario,CHC
666165,Blake Sabol,SFG
666160,Mickey Moniak,COL
642708,Amed Rosario,WSN
545121,Ildemaro Vargas,ARI
666158,Gavin Lux,CIN
596103,Austin Slater,CHW
666185,Dylan Carlson,BAL
666624,Christopher Morel,TBR
669720,Austin Hays,- - -
642086,Dominic Smith,- - -
668832,Kyle McCann,OAK
656537,Derek Hill,- - -
671083,Buddy Kennedy,- - -
642708,Amed Rosario,- - -
687462,Spencer Horwitz,PIT
543510,James McCann,BAL
679845,Nick Loftin,KCR
456781,Donovan Solano,SEA
518934,DJ LeMahieu,NYY
656413,Stuart Fairchild,CIN
680862,Willie MacIver,ATH
691785,Marcelo Mayer,BOS
641680,Jonah Heim,TEX
807713,Matt Shaw,CHC
542194,Christian Bethancourt,- - -
655316,Andruw Monasterio,MIL
702176,Alan Roden,TOR
624512,Reese McGuire,BOS
669200,Mason McCoy,SDP
657557,Paul DeJong,WSN
663584,Hayden Senger,NYM
676946,Matthew Batten,SDP
675659,Greg Jones,COL
702358,Trey Lipscomb,WSN
660636,Diego Castillo,MIN
641779,Charles Leblanc,LAA
680737,Michael Helman,MIN
592274,Matt Duffy,TEX
672724,Oswald Peraza,NYY
676439,Hunter Feduccia,LAD
453568,Charlie Blackmon,COL
641511,Jason Delay,PIT
681393,Connor Norby,- - -
670276,Cal Stevenson,PHI
665019,Kody Clemens,PHI
663330,Jahmai Jones,NYY
670869,Livan Soto,- - -
641943,Joshua Palacios,PIT
690291,Jace Jung,DET
665839,Enmanuel Valdez,PIT
686676,Korey Lee,CHW
624428,Adam Frazier,PIT
570482,Gio Urshela,ATH
676801,Chas McCormick,HOU
666160,Mickey Moniak,LAA
669288,Daniel Johnson,SFG
621311,David Dahl,PHI
682729,Jonatan Clase,- - -
664314,Estevan Florial,CLE
