team,launch_speed,bat_speed,events,home_runs
- - -,85.56037735849057,69.21408450704224,43,0
ARI,82.2090909090909,70.51818181818182,36,0
ATL,82.75945945945946,70.74561403508773,37,0
BAL,79.45555555555556,69.53823529411765,20,0
BOS,81.11578947368422,68.94769230769231,37,0
CHC,86.59,70.11666666666666,38,0
CHW,84.93846153846154,68.81818181818181,28,0
CIN,83.70930232558139,67.99298245614035,35,0
CLE,83.66666666666667,71.1,3,0
HOU,81.775,73.03999999999999,4,0
LAA,81.87837837837837,71.3875,37,0
LAD,80.18333333333334,66.9125,3,0
MIL,79.9984375,71.34146341463415,40,0
MIN,86.6,72.10217391304347,28,0
NYM,79.69655172413792,72.46451612903226,41,0
NYY,83.73653846153846,71.55064935064935,38,0
OAK,79.47999999999999,66.64,5,0
PHI,78.96000000000001,70.8111111111111,4,0
PIT,82.59803921568627,69.95875,41,0
SDP,84.94117647058823,70.79672131147541,30,0
SEA,85.11538461538461,72.01960784313725,30,0
SFG,73.75,68.53333333333335,1,0
STL,88.94222222222223,71.50701754385965,33,0
TEX,81.98541666666667,71.95483870967742,32,0
TOR,75.46000000000001,62.228571428571435,4,0
WSN,83.17777777777778,70.84428571428572,39,0
