mlbam_id,lookup_player_name,team,avg_launch_speed,avg_bat_speed,avg_swing_length,total_pitches,home_runs,strikeouts
457705,Andrew McCutchen,PIT,85.08,71.88,7.79,29,0,2
457759,Justin Turner,- - -,88.86,68.57,6.55,11,0,0
457759,Justin Turner,CHC,88.86,68.57,6.55,11,0,0
502054,Tommy Pham,- - -,89.0,72.42,7.12,10,1,1
502054,Tommy Pham,PIT,89.0,72.42,7.12,10,1,1
502671,Paul Goldschmidt,NYY,83.47,72.54,7.9,24,0,2
502671,Paul Goldschmidt,STL,83.47,72.54,7.9,24,0,2
518595,Travis d'Arnaud,ATL,76.18,67.47,7.19,14,0,2
518595,Travis d'Arnaud,LAA,76.18,67.47,7.19,14,0,2
518934,DJ LeMahieu,NYY,86.02,68.2,7.32,9,0,1
519317,Giancarlo Stanton,NYY,73.3,78.94,8.84,16,0,3
542303,Marcell Ozuna,ATL,86.65,75.25,7.55,24,0,2
542932,Jon Berti,CHC,88.0,74.2,7.4,4,0,0
542932,Jon Berti,NYY,88.0,74.2,7.4,4,0,0
543309,Kyle Higashioka,SDP,75.9,71.37,7.76,11,0,1
543309,Kyle Higashioka,TEX,75.9,71.37,7.76,11,0,1
543760,Marcus Semien,TEX,77.44,68.2,7.86,23,0,1
545121,Ildemaro Vargas,ARI,85.5,70.87,7.49,16,0,1
545121,Ildemaro Vargas,WSN,85.5,70.87,7.49,16,0,1
545341,Randal Grichuk,ARI,84.04,70.14,7.29,14,0,0
545361,Mike Trout,LAA,80.85,77.85,7.98,26,0,2
571448,Nolan Arenado,STL,89.1,69.77,8.25,13,0,0
575929,Willson Contreras,STL,85.92,74.01,7.69,17,0,1
578428,Jose Iglesias,NYM,85.8,68.7,6.65,17,0,0
578428,Jose Iglesias,SDP,85.8,68.7,6.65,17,0,0
592450,Aaron Judge,NYY,94.62,78.35,8.25,13,1,0
592518,Manny Machado,SDP,85.6,72.39,7.24,19,1,1
592885,Christian Yelich,MIL,81.09,71.45,6.93,23,1,1
593428,Xander Bogaerts,SDP,83.65,67.22,6.3,17,0,0
593871,Jorge Polanco,SEA,87.45,69.38,7.51,17,0,1
596019,Francisco Lindor,NYM,90.5,82.53,8.03,9,0,0
596103,Austin Slater,- - -,91.18,66.87,6.61,16,0,1
