game_date,away_team,home_team,away_pitcher,home_pitcher
2025-06-28,OAK,NYY,JP Sears,Clarke Schmidt
2025-06-28,MIN,DET,Bailey Ober,Casey Mize
2025-06-28,SEA,TEX,Bryan Woo,Kumar Rocker
2025-06-28,NYM,PIT,Paul Blackburn,Bailey Falter
2025-06-28,TB,BAL,Zack Littell,Zach Eflin
2025-06-28,MIA,ARI,Sandy Alcantara,Brandon Pfaadt
2025-06-28,LAD,KC,Shohei Ohtani,Seth Lugo
2025-06-28,COL,MIL,Antonio Senzatela,Quinn Priester
2025-06-28,TOR,BOS,Chris Bassitt,Lucas Giolito
2025-06-28,SF,CWS,Robbie Ray,Adrian Houser
2025-06-28,SD,CIN,Randy Vásquez,Andrew Abbott
2025-06-28,STL,CLE,Miles Mikolas,Slade Cecconi
2025-06-28,CHC,HOU,Colin Rea,Lance McCullers Jr.
2025-06-28,PHI,ATL,Jesús Luzardo,Spencer Schwellenbach
