rank,team,team_gpa,recent_win_pct,run_diff_per_game,batting_power_idx,trend
1,NYY,100.0,0.58,1.012,0.286,0
2,PHI,96.15,0.593,0.802,-0.144,0
3,BOS,93.33,0.549,0.679,0.613,0
4,SD,89.99,0.556,0.5,0.332,0
5,NYM,88.28,0.512,0.315,1.271,0
6,CHC,86.49,0.568,0.889,-0.71,0
7,HOU,84.93,0.537,0.13,0.604,0
8,KC,82.97,0.506,0.086,1.101,0
9,SF,79.63,0.5,0.13,0.841,1
10,CLE,79.58,0.543,-0.037,0.104,1
11,CIN,79.41,0.512,0.216,0.465,-2
12,SEA,78.58,0.556,0.444,-0.782,1
13,DET,78.23,0.537,0.414,-0.393,-1
14,TEX,77.15,0.5,0.488,0.198,0
15,TB,73.04,0.475,0.191,0.617,0
16,MIL,72.59,0.599,1.062,-2.98,0
17,TOR,72.47,0.58,0.475,-1.966,0
18,MIA,70.05,0.488,-0.549,0.852,3
19,LAD,69.48,0.574,0.877,-2.578,-1
20,ARI,68.84,0.494,0.037,,-1
21,ATL,68.55,0.469,-0.062,0.56,-1
22,STL,63.04,0.481,-0.401,0.1,0
23,PIT,54.85,0.438,-0.383,0.15,0
24,BAL,54.78,0.463,-0.685,-0.051,0
25,MIN,54.18,0.432,-0.586,0.432,0
26,ATHLETICS,53.24,0.469,-0.519,,0
27,LAA,49.83,0.444,-1.012,0.185,0
28,WSH,43.82,0.407,-1.309,0.67,0
29,CWS,33.88,0.37,-0.586,-0.353,0
30,COL,0.0,0.265,-2.617,0.577,0
