rank,team,team_gpa,recent_win_pct,run_diff_per_game,batting_power_idx,trend
1,CLE,100.0,0.543,-0.037,2.39,8
2,MIL,98.26,0.599,1.062,-0.224,9
3,LAD,96.77,0.574,0.877,0.284,13
4,TOR,96.27,0.58,0.475,0.515,10
5,BOS,94.99,0.549,0.679,,-4
6,SD,94.36,0.556,0.5,,-4
7,NYY,91.63,0.58,1.012,-0.734,-2
8,SEA,91.26,0.556,0.444,0.35,7
9,PHI,90.43,0.593,0.802,-0.94,-6
10,CHC,88.11,0.568,0.889,-0.846,2
11,HOU,86.49,0.537,0.13,,-5
12,NYM,83.31,0.512,0.315,,-8
13,TEX,82.57,0.5,0.488,,-3
14,CIN,82.24,0.512,0.216,,-7
15,DET,80.36,0.537,0.414,-0.795,2
16,KC,79.55,0.506,0.086,,-8
17,SF,78.72,0.5,0.13,,-4
18,ARI,76.43,0.494,0.037,,1
19,TB,74.21,0.475,0.191,,-1
20,ATL,70.2,0.469,-0.062,,2
21,STL,69.13,0.481,-0.401,,0
22,MIA,68.84,0.488,-0.549,,-2
23,ATHLETICS,65.28,0.469,-0.519,,3
24,BAL,62.2,0.463,-0.685,,1
25,PIT,60.27,0.438,-0.383,,-1
26,MIN,56.79,0.432,-0.586,,1
27,LAA,54.8,0.444,-1.012,,-4
28,WSH,43.84,0.407,-1.309,,1
29,CWS,43.84,0.37,-0.586,,-1
30,COL,0.0,0.265,-2.617,,0
