batter,name_first,name_last,team_name
680757,steven,kwan,CLE
682657,angel,martínez,CLE
666310,bo,naylor,CLE
680977,brendan,donovan,STL
687363,victor,scott,STL
686780,pedro,pagés,STL
672356,gabriel,arias,CLE
666134,nolan,jones,CLE
682177,daniel,schneemann,CLE
669357,nolan,gorman,STL
571448,nolan,arenado,STL
663457,lars,nootbaar,STL
575929,willson,contreras,STL
676475,alec,burleson,STL
691026,masyn,winn,STL
681807,david,fry,CLE
700932,kyle,manzardo,CLE
657041,lane,thomas,CLE
657757,gavin,sheets,SD
669369,bryce,johnson,SD
701538,jackson,merrill,SD
642180,tyler,wade,SD
650333,luis,arráez,SD
553869,elías,díaz,SD
670092,trenton,brooks,SD
669289,santiago,espinal,CIN
666181,will,benson,CIN
668715,spencer,steer,CIN
630105,jake,cronenworth,SD
593428,xander,bogaerts,SD
663886,tyler,stephenson,CIN
666158,gavin,lux,CIN
669720,austin,hays,CIN
665487,fernando,tatís,SD
592518,manny,machado,SD
682829,elly,de la cruz,CIN
680574,matt,mclain,CIN
670770,tj,friedl,CIN
455117,martín,maldonado,SD
687952,christian,encarnacion-strand,CIN
681987,nate,eaton,BOS
647351,abraham,toro,BOS
680776,jarren,duran,BOS
672386,alejandro,kirk,TOR
702176,alan,roden,TOR
680718,addison,barger,TOR
666182,bo,bichette,TOR
686765,nick,sogard,BOS
657136,connor,wong,BOS
666152,david,hamilton,BOS
682729,jonatan,clase,TOR
665926,andrés,giménez,TOR
676391,ernie,clement,TOR
664702,myles,straw,TOR
543807,george,springer,TOR
665489,vladimir,guerrero,TOR
678882,ceddanne,rafaela,BOS
677800,wilyer,abreu,BOS
596115,trevor,story,BOS
701350,roman,anthony,BOS
664770,nathan,lukes,TOR
663968,jake,mangum,TB
666018,jonathan,aranda,TB
691406,junior,caminero,TB
702616,jackson,holliday,BAL
691723,coby,mayo,BAL
656775,cedric,mullins,BAL
596142,gary,sánchez,BAL
681297,colton,cowser,BAL
666185,dylan,carlson,BAL
656811,ryan,o'hearn,BAL
683002,gunnar,henderson,BAL
602104,ramón,urías,BAL
664040,brandon,lowe,TB
650490,yandy,díaz,TB
643376,danny,jansen,TB
802415,chandler,simpson,TB
657656,ramón,laureano,BAL
676609,josé,caballero,TB
666139,josh,lowe,TB
676059,jordan,westburg,BAL
621566,matt,olson,ATL
656413,stuart,fairchild,ATL
669397,nick,allen,ATL
642201,eli,white,ATL
665561,rafael,marchán,PHI
596146,max,kepler,PHI
679032,johan,rojas,PHI
624641,edmundo,sosa,PHI
656941,kyle,schwarber,PHI
607208,trea,turner,PHI
657077,alex,verdugo,ATL
645277,ozzie,albies,ATL
686948,drake,baldwin,ATL
663586,austin,riley,ATL
542303,marcell,ozuna,ATL
669016,brandon,marsh,PHI
805249,otto,kemp,PHI
671083,buddy,kennedy,PHI
592663,j. t.,realmuto,PHI
671739,michael,harris,ATL
681082,bryson,stott,PHI
664761,alec,bohm,PHI
592206,nick,castellanos,PHI
660670,ronald,acuña,ATL
663584,hayden,senger,NYM
677595,ronny,mauricio,NYM
683146,brett,baty,NYM
668901,mark,vientos,NYM
663647,ke'bryan,hayes,PIT
663698,joey,bart,PIT
693304,nick,gonzales,PIT
643446,jeff,mcneil,NYM
624413,pete,alonso,NYM
621438,tyrone,taylor,NYM
607043,brandon,nimmo,NYM
668804,bryan,reynolds,PIT
457705,andrew,mccutchen,PIT
502054,tommy,pham,PIT
643396,isiah,kiner-falefa,PIT
672744,alexander,canario,PIT
669707,jared,triolo,PIT
596019,francisco,lindor,NYM
665742,juan,soto,NYM
673962,josh,jung,TEX
694497,evan,carter,TEX
666969,adolis,garcía,TEX
543760,marcus,semien,TEX
456781,donovan,solano,SEA
670156,miles,mastrobuoni,SEA
664238,dylan,moore,SEA
670042,luke,raley,SEA
608369,corey,seager,TEX
664059,sam,haggerty,TEX
677649,ezequiel,duran,TEX
543309,kyle,higashioka,TEX
668227,randy,arozarena,SEA
593871,jorge,polanco,SEA
663728,cal,raleigh,SEA
677594,julio,rodríguez,SEA
641487,j. p.,crawford,SEA
669701,josh,smith,TEX
641680,jonah,heim,TEX
810938,ben,williamson,SEA
696030,alejandro,osuna,TEX
702284,cole,young,SEA
686527,dominic,canzone,SEA
571657,kyle,farmer,COL
669911,michael,toglia,COL
642731,thairo,estrada,COL
687597,jordan,beck,COL
661388,william,contreras,MIL
592885,christian,yelich,MIL
694192,jackson,chourio,MIL
686217,sal,frelick,MIL
687401,joey,ortiz,MIL
702332,caleb,durbin,MIL
668930,brice,turang,MIL
666160,mickey,moniak,COL
690022,ryan,ritter,COL
690924,braxton,fulford,COL
686668,brenton,doyle,COL
641857,ryan,mcmahon,COL
656555,rhys,hoskins,MIL
686555,isaac,collins,MIL
805367,chase,meidroth,CWS
643565,mike,tauchman,CWS
700337,edgar,quero,CWS
646240,rafael,devers,SF
671218,heliot,ramos,SF
689172,brett,wisely,SF
668942,josh,rojas,CWS
676116,ryan,noda,CWS
672820,lenyn,sosa,CWS
672275,patrick,bailey,SF
683766,christian,koss,SF
808982,jung hoo,lee,SF
691019,kyle,teel,CWS
678246,miguel,vargas,CWS
643217,andrew,benintendi,CWS
642715,willy,adames,SF
573262,mike,yastrzemski,SF
527038,wilmer,flores,SF
572191,michael,taylor,CWS
668709,jj,bleday,ATH
570482,gio,urshela,ATH
691016,tyler,soderstrom,ATH
700250,ben,rice,NYY
665862,jazz,chisholm,NYY
519317,giancarlo,stanton,NYY
641355,cody,bellinger,NYY
701762,nick,kurtz,ATH
667670,brent,rooker,ATH
805779,jacob,wilson,ATH
592450,aaron,judge,NYY
663757,trent,grisham,NYY
518934,dj,lemahieu,NYY
671732,lawrence,butler,ATH
680474,max,schuemann,ATH
680862,willie,maciver,ATH
683011,anthony,volpe,NYY
502671,paul,goldschmidt,NYY
664023,ian,happ,CHC
807713,matt,shaw,CHC
683737,michael,busch,CHC
663538,nico,hoerner,CHC
608348,carson,kelly,CHC
514888,josé,altuve,HOU
670623,isaac,paredes,HOU
643289,mauricio,dubón,HOU
691718,pete,crow-armstrong,CHC
621020,dansby,swanson,CHC
673548,seiya,suzuki,CHC
666211,taylor,trammell,HOU
673237,yainer,diaz,HOU
572233,christian,walker,HOU
605170,víctor,caratini,HOU
663656,kyle,tucker,CHC
676694,jake,meyers,HOU
701358,cam,smith,HOU
457759,justin,turner,CHC
665161,jeremy,peña,HOU
695506,jac,caglianone,KC
521692,salvador,pérez,KC
686469,vinnie,pasquantino,KC
672580,maikel,garcía,KC
677951,bobby,witt,KC
571771,enrique,hernández,LAD
571970,max,muncy,LAD
669242,tommy,edman,LAD
681624,andy,pages,LAD
663697,jonathan,india,KC
679845,nick,loftin,KC
686475,tyler,tolbert,KC
592192,mark,canha,KC
669257,will,smith,LAD
518692,freddie,freeman,LAD
606192,teoscar,hernández,LAD
605141,mookie,betts,LAD
660271,shohei,ohtani,LAD
664728,kyle,isbel,KC
666023,freddy,fermin,KC
670231,john,rave,KC
678009,parker,meadows,DET
693307,dillon,dingler,DET
672761,wenceel,pérez,DET
663616,trevor,larnach,MIN
621439,byron,buxton,MIN
543877,christian,vázquez,MIN
679529,spencer,torkelson,DET
682985,riley,greene,DET
656716,zach,mckinstry,DET
650402,gleyber,torres,DET
690993,colt,keith,DET
595879,javier,báez,DET
664056,harrison,bader,MIN
665019,kody,clemens,MIN
686797,brooks,lee,MIN
664034,ty,france,MIN
621043,carlos,correa,MIN
650489,willi,castro,MIN
663330,jahmai,jones,DET
681481,kerry,carpenter,DET
670242,matt,wallner,MIN
694374,tim,tawa,AZ
656976,pavin,smith,AZ
606466,ketel,marte,AZ
672695,geraldo,perdomo,AZ
645444,josé,herrera,AZ
677950,alek,thomas,AZ
545341,randal,grichuk,AZ
676572,eric,wagaman,MIA
669065,kyle,stowers,MIA
667472,dane,myers,MIA
672640,otto,lopez,MIA
660821,jesús,sánchez,MIA
669364,xavier,edwards,MIA
666971,lourdes,gurriel,AZ
553993,eugenio,suárez,AZ
691594,javier,sanoja,MIA
681393,connor,norby,MIA
681715,heriberto,hernandez,MIA
682663,agustín,ramírez,MIA
647304,josh,naylor,AZ
664983,jake,mccarthy,AZ
664774,lamonte,wade,LAA
681351,logan,o'hoppe,LAA
666176,jo,adell,LAA
605137,josh,bell,WSH
663993,nathaniel,lowe,WSH
671277,luis,garcía,WSH
682928,cj,abrams,WSH
696285,jacob,young,WSH
656180,riley,adams,WSH
695734,daylen,lile,WSH
691781,brady,house,WSH
621493,taylor,ward,LAA
545361,mike,trout,LAA
694384,nolan,schanuel,LAA
695578,james,wood,WSH
650859,luis,rengifo,LAA
687263,zach,neto,LAA
695681,christian,moore,LAA
621028,kevin,newman,LAA
