batter,name_first,name_last,team_name
677800,wilyer,abreu,BOS
596115,trevor,story,BOS
692225,kristian,campbell,BOS
608701,rob,refsnyder,BOS
608324,alex,bregman,BOS
642201,eli,white,BOS
669397,nick,allen,BOS
656413,stuart,fairchild,BOS
671739,michael,harris,BOS
645277,ozzie,albies,BOS
669221,sean,murphy,BOS
621566,matt,olson,BOS
542303,marcell,ozuna,BOS
646240,rafael,devers,BOS
680776,jarren,duran,BOS
678882,ceddanne,rafaela,BOS
665966,carlos,narváez,BOS
663586,austin,riley,BOS
686765,nick,sogard,BOS
656896,emmanuel,rivera,BAL
656775,cedric,mullins,BAL
702616,jackson,holliday,BAL
682928,cj,abrams,BAL
683083,nasim,nuñez,BAL
671277,luis,garcía,BAL
677588,josé,tena,BAL
686611,dylan,crews,BAL
602104,ramón,urías,BAL
656811,ryan,o'hearn,BAL
657656,ramón,laureano,BAL
668939,adley,rutschman,BAL
663624,ryan,mountcastle,BAL
663993,nathaniel,lowe,BAL
660688,keibert,ruiz,BAL
695578,james,wood,BAL
669743,alex,call,BAL
683002,gunnar,henderson,BAL
622761,jorge,mateo,BAL
696285,jacob,young,BAL
676391,ernie,clement,TOR
683021,michael,stefanic,TOR
664702,myles,straw,TOR
680718,addison,barger,TOR
672386,alejandro,kirk,TOR
679529,spencer,torkelson,TOR
682985,riley,greene,TOR
669234,justyn-henry,malloy,TOR
650402,gleyber,torres,TOR
543807,george,springer,TOR
662139,daulton,varsho,TOR
665489,vladimir,guerrero,TOR
666182,bo,bichette,TOR
681481,kerry,carpenter,TOR
595879,javier,báez,TOR
700242,trey,sweeney,TOR
693307,dillon,dingler,TOR
682729,jonatan,clase,TOR
656716,zach,mckinstry,TOR
664770,nathan,lukes,TOR
690993,colt,keith,TOR
457705,andrew,mccutchen,PHI
665833,oneil,cruz,PHI
669707,jared,triolo,PHI
685301,matt,gorski,PHI
502054,tommy,pham,PHI
624428,adam,frazier,PHI
672744,alexander,canario,PHI
592663,j. t.,realmuto,PHI
592206,nick,castellanos,PHI
656941,kyle,schwarber,PHI
547180,bryce,harper,PHI
607208,trea,turner,PHI
679032,johan,rojas,PHI
596146,max,kepler,PHI
663647,ke'bryan,hayes,PHI
663698,joey,bart,PHI
624641,edmundo,sosa,PHI
664761,alec,bohm,PHI
643396,isiah,kiner-falefa,PHI
669256,nick,solak,PHI
642215,weston,wilson,PHI
665742,juan,soto,NYY
596019,francisco,lindor,NYY
643446,jeff,mcneil,NYY
683146,brett,baty,NYY
682626,francisco,álvarez,NYY
516782,starling,marte,NYY
641355,cody,bellinger,NYY
592450,aaron,judge,NYY
663757,trent,grisham,NYY
678391,jorbit,vivas,NYY
672724,oswald,peraza,NYY
607043,brandon,nimmo,NYY
668901,mark,vientos,NYY
624413,pete,alonso,NYY
669224,austin,wells,NYY
683011,anthony,volpe,NYY
691176,jasson,domínguez,NYY
502671,paul,goldschmidt,NYY
621438,tyrone,taylor,NYY
682668,jose,acuña,NYY
666163,ben,rortvedt,MIA
676609,josé,caballero,MIA
670224,kameron,misner,MIA
656537,derek,hill,MIA
688363,graham,pauley,MIA
682927,ronny,simon,MIA
676572,eric,wagaman,MIA
666018,jonathan,aranda,MIA
691406,junior,caminero,MIA
664040,brandon,lowe,MIA
669065,kyle,stowers,MIA
681393,connor,norby,MIA
682663,agustín,ramírez,MIA
666139,josh,lowe,MIA
650490,yandy,díaz,MIA
802415,chandler,simpson,MIA
660821,jesús,sánchez,MIA
691594,javier,sanoja,MIA
672356,gabriel,arias,CIN
682177,daniel,schneemann,CIN
467793,carlos,santana,CIN
680574,matt,mclain,CIN
666181,will,benson,CIN
663886,tyler,stephenson,CIN
700932,kyle,manzardo,CIN
608070,josé,ramírez,CIN
666134,nolan,jones,CIN
680757,steven,kwan,CIN
668715,spencer,steer,CIN
666158,gavin,lux,CIN
669720,austin,hays,CIN
682829,elly,de la cruz,CIN
669289,santiago,espinal,CIN
686823,will,brennan,CIN
666310,bo,naylor,CIN
670770,tj,friedl,CIN
664728,kyle,isbel,KC
671221,drew,waters,KC
624415,cavan,biggio,KC
575929,willson,contreras,KC
571448,nolan,arenado,KC
680977,brendan,donovan,KC
691026,masyn,winn,KC
663457,lars,nootbaar,KC
686681,michael,massey,KC
